location,lat,lon,date,temp_max_c,temp_min_c,temp_mean_c,precipitation_mm,rain_mm,et0_mm,wind_max_kmh,humidity_mean_pct,solar_radiation_mj
Guntur_Center,16.3,80.0,2024-06-01,41.6,31.0,34.8,0.1,0.1,6.92,21.5,62,23.3
Guntur_Center,16.3,80.0,2024-06-02,35.2,26.5,30.5,18.6,18.6,2.99,20.3,75,9.55
Guntur_Center,16.3,80.0,2024-06-03,34.0,26.5,29.8,4.3,4.3,2.75,12.7,71,9.93
Guntur_Center,16.3,80.0,2024-06-04,36.7,27.6,32.3,1.0,1.0,5.01,20.3,61,17.11
Guntur_Center,16.3,80.0,2024-06-05,35.8,26.0,29.5,34.4,34.4,4.11,22.5,77,16.07
Guntur_Center,16.3,80.0,2024-06-06,31.9,25.8,28.8,21.3,21.3,3.25,13.6,80,13.28
Guntur_Center,16.3,80.0,2024-06-07,33.8,25.5,28.3,9.7,9.7,3.37,15.5,81,14.84
Guntur_Center,16.3,80.0,2024-06-08,33.0,25.7,28.6,0.1,0.1,3.23,16.1,77,12.39
Guntur_Center,16.3,80.0,2024-06-09,34.0,25.5,29.2,0.6,0.6,5.55,18.7,73,22.46
Guntur_Center,16.3,80.0,2024-06-10,32.8,26.1,29.2,7.1,7.1,4.08,15.4,72,15.18
Guntur_Center,16.3,80.0,2024-06-11,34.3,27.3,30.0,0.3,0.3,4.57,22.7,67,14.08
Guntur_Center,16.3,80.0,2024-06-12,35.0,26.2,30.1,2.7,2.7,5.07,19.5,68,17.97
Guntur_Center,16.3,80.0,2024-06-13,36.3,26.9,30.4,2.0,2.0,5.47,21.5,67,20.39
Guntur_Center,16.3,80.0,2024-06-14,36.0,27.2,31.3,0.5,0.5,5.92,16.5,61,20.8
Guntur_Center,16.3,80.0,2024-06-15,37.2,28.1,32.2,1.0,1.0,6.58,19.9,56,21.11
Guntur_Center,16.3,80.0,2024-06-16,37.5,27.4,32.4,5.1,5.1,6.03,21.6,56,20.94
Guntur_Center,16.3,80.0,2024-06-17,36.6,27.5,31.0,0.0,0.0,4.74,15.5,65,17.45
Guntur_Center,16.3,80.0,2024-06-18,38.7,27.6,32.5,0.7,0.7,6.01,17.1,58,20.04
Guntur_Center,16.3,80.0,2024-06-19,37.2,24.8,31.2,8.1,8.1,5.36,16.2,62,18.8
Guntur_Center,16.3,80.0,2024-06-20,37.5,27.9,32.8,0.2,0.2,6.43,18.2,50,21.33
Guntur_Center,16.3,80.0,2024-06-21,37.7,26.0,31.7,11.7,11.7,5.78,21.0,57,18.07
Guntur_Center,16.3,80.0,2024-06-22,34.8,28.6,31.3,0.0,0.0,5.06,18.7,59,15.74
Guntur_Center,16.3,80.0,2024-06-23,36.8,27.7,31.5,0.4,0.4,4.95,14.7,61,17.42
Guntur_Center,16.3,80.0,2024-06-24,37.9,27.6,31.9,0.7,0.7,5.7,15.1,59,20.34
Guntur_Center,16.3,80.0,2024-06-25,37.8,26.8,32.0,8.8,8.8,6.26,19.3,58,20.89
Guntur_Center,16.3,80.0,2024-06-26,34.4,26.4,29.9,8.9,8.9,4.06,15.5,73,14.95
Guntur_Center,16.3,80.0,2024-06-27,27.4,26.0,26.6,19.0,19.0,1.21,14.1,91,4.54
Guntur_Center,16.3,80.0,2024-06-28,34.0,25.4,28.8,4.9,4.9,3.78,16.8,76,15.09
Guntur_Center,16.3,80.0,2024-06-29,34.0,26.2,30.2,0.6,0.6,4.58,16.7,68,16.5
Guntur_Center,16.3,80.0,2024-06-30,33.6,26.9,29.4,3.3,3.3,3.42,13.8,73,12.88
Guntur_Center,16.3,80.0,2024-07-01,33.5,25.4,28.8,11.7,11.7,3.35,16.9,76,12.06
Guntur_Center,16.3,80.0,2024-07-02,35.0,26.6,30.2,0.4,0.4,5.04,19.8,62,17.48
Guntur_Center,16.3,80.0,2024-07-03,35.1,26.5,30.0,0.0,0.0,5.07,16.3,68,20.12
Guntur_Center,16.3,80.0,2024-07-04,35.2,27.2,30.5,0.1,0.1,5.17,16.6,65,19.07
Guntur_Center,16.3,80.0,2024-07-05,34.8,25.5,30.2,12.6,12.6,5.65,17.4,65,20.6
