patch_id,lat,lon,row_start,col_start,valid_fraction,risk_class,risk_label,risk_score,confidence,attn_Jun,attn_Jul,attn_Aug,attn_Sep,attn_Oct,attn_Nov
0,16.497515277090805,79.80287132733443,0,0,1.0,0,Low Risk,0.3494,0.9965,0.0644,0.0725,0.105,0.0772,0.1129,0.568
1,16.497515277090805,79.80718324069821,0,48,1.0,0,Low Risk,0.3127,0.9994,0.0536,0.0678,0.0773,0.0933,0.101,0.6069
2,16.497515277090805,79.81149515406197,0,96,1.0,0,Low Risk,0.322,0.9993,0.0554,0.0721,0.0747,0.0999,0.1015,0.5965
3,16.497515277090805,79.81580706742575,0,144,1.0,1,Medium Risk,0.5182,0.9995,0.0803,0.0845,0.0859,0.1168,0.1497,0.4827
4,16.497515277090805,79.82011898078953,0,192,1.0,0,Low Risk,0.3915,0.9784,0.0521,0.0787,0.0844,0.0925,0.1213,0.571
5,16.497515277090805,79.8244308941533,0,240,1.0,1,Medium Risk,0.4894,0.9607,0.0832,0.0765,0.0874,0.1032,0.1207,0.5291
6,16.497515277090805,79.82874280751707,0,288,1.0,0,Low Risk,0.3427,0.9953,0.0252,0.0977,0.138,0.0622,0.0989,0.578
7,16.497515277090805,79.83305472088085,0,336,1.0,1,Medium Risk,0.4665,0.7298,0.0602,0.0689,0.1388,0.0812,0.1273,0.5236
8,16.497515277090805,79.83736663424462,0,384,1.0,0,Low Risk,0.403,0.9422,0.0717,0.0586,0.0934,0.0863,0.1332,0.5568
9,16.497515277090805,79.8416785476084,0,432,1.0,0,Low Risk,0.3038,0.9995,0.0648,0.0945,0.1219,0.0738,0.109,0.536
10,16.497515277090805,79.84599046097216,0,480,1.0,0,Low Risk,0.363,0.9936,0.0807,0.0948,0.1541,0.0611,0.1298,0.4794
11,16.497515277090805,79.85030237433594,0,528,1.0,0,Low Risk,0.3386,0.9962,0.0686,0.0672,0.1026,0.0851,0.1083,0.5682
12,16.497515277090805,79.85461428769972,0,576,1.0,0,Low Risk,0.3044,0.9995,0.0665,0.063,0.0819,0.1004,0.1026,0.5856
13,16.497515277090805,79.85892620106348,0,624,1.0,1,Medium Risk,0.4566,0.7042,0.0899,0.0679,0.076,0.11,0.1235,0.5328
14,16.497515277090805,79.86323811442726,0,672,1.0,1,Medium Risk,0.5137,0.9963,0.0957,0.0599,0.0607,0.1251,0.1468,0.5118
15,16.497515277090805,79.86755002779104,0,720,1.0,1,Medium Risk,0.5259,0.9991,0.1027,0.0461,0.0504,0.1668,0.1334,0.5005
16,16.497515277090805,79.8718619411548,0,768,1.0,1,Medium Risk,0.5255,0.9987,0.0966,0.0628,0.0828,0.1325,0.137,0.4884
17,16.497515277090805,79.87617385451858,0,816,1.0,1,Medium Risk,0.4736,0.8734,0.0758,0.0928,0.077,0.109,0.1071,0.5382
18,16.497515277090805,79.88048576788236,0,864,1.0,0,Low Risk,0.3979,0.9685,0.0654,0.1133,0.1232,0.0672,0.1236,0.5074
19,16.497515277090805,79.88479768124613,0,912,1.0,1,Medium Risk,0.5114,0.9906,0.0754,0.0774,0.0776,0.0661,0.1082,0.5952
20,16.497515277090805,79.8891095946099,0,960,1.0,1,Medium Risk,0.4906,0.9321,0.0814,0.0711,0.0953,0.0685,0.1115,0.5721
21,16.497515277090805,79.89342150797368,0,1008,1.0,0,Low Risk,0.4646,0.5275,0.0819,0.0658,0.1063,0.0669,0.1126,0.5666
22,16.497515277090805,79.89773342133745,0,1056,1.0,0,Low Risk,0.4631,0.5217,0.0609,0.0508,0.0594,0.0914,0.0998,0.6376
23,16.497515277090805,79.90204533470123,0,1104,1.0,0,Low Risk,0.3924,0.9651,0.0522,0.0859,0.1608,0.0564,0.1342,0.5104
24,16.497515277090805,79.90635724806499,0,1152,1.0,0,Low Risk,0.3311,0.9982,0.0232,0.121,0.1905,0.0709,0.1539,0.4405
25,16.497515277090805,79.91066916142877,0,1200,1.0,0,Low Risk,0.2936,0.9997,0.0225,0.1168,0.1591,0.0559,0.1459,0.4997
